Email,"First Name","Last Name","Phone Number",Status,"Contact Record Created","IP Address","User Agent",Organization,*domain,*Message,*Sector,*Prod/Service,"*Phone 2",*Fax,*Employees,*Province,*Area,*Town,*Suburb,*Website,*Designation1,*Designation2,*Cell,"*Authoriser E-mail","*Authoriser Full Name","*Authoriser Tel","*Authoriser Cell","*Email 2",*Salut,"*.za.com address","*Premium Address 1","*Premium Address 2","*Premium Address 3","*Opened Campaign Contact Score","*Replied Contact Score","*Forward Email Contact Score","*Clicked Link Contact Score","*Submit Web Form Contact Score","*Visited Web Site Contact Score",Tags
0214231525@efg.co.za,,,(021)-423-1525,,"2018-02-06 10:36:39",0.0.0.0,,"CAPE FLOWER SHOP INC THE",florist.za.com,,RETAIL,"BOUQUETS,WEDDING FLORISTS,FRESH FLOWERS,BABY BASKET",,,"11 - 50",WC,"CAPE TOWN CITY","CITY CENTRE","CAPE TOWN CITY CENTRE",,,,(082)-895-5069,,,,,,,,,,,0,0,0,0,0,0,Florist
0217852165@efg.co.za,,,(021)-785-2296,,"2018-02-06 10:36:42",0.0.0.0,,"BLUE GARDENIA FLORIST",florist.za.com,,RETAIL,"FLORISTS,FLORISTS AND FLOWERS,WREATHS,FLOWER SHOPS",,,"11 - 50",WC,"SOUTH CAPE TOWN",NOORDHOEK,SUNNYDALE,,,,,,,,,,,,,,,0,0,0,0,0,0,Florist
0437351989@efg.co.za,,,(043)-735-1989,,"2018-02-06 10:36:31",0.0.0.0,,"DRIFLORA FLORIST WHOLESALERS",florist.za.com,,"TRANSPORT & DISTRIBUTION","FLORISTS SUPPLIES",,,,EC,"NORTH EASTERN CAPE","EAST LONDON",NAHOON,,,,,,,,,,,,,,,0,0,0,0,0,0,Florist
0791309347@vodamail.co.za,,,(079)-130-9347,,"2018-02-26 13:49:00",0.0.0.0,,"A1 Travel",,,"TRANSPORT & DISTRIBUTION","CARS,TAXIS,TOURS,AIRPORT SHUTTLE SERVICES,AIR PORT",,,"51 - 200",GT,"EAST RAND","KEMPTON PARK","KEMPTON PARK",,,,,,,,,,,,,,,0,0,0,0,0,0,"travel industry"
0829565070@vodamail.co.za,,,(015)-293-2178,,"2018-01-18 09:51:13",0.0.0.0,,"Fn Air Refrigeration And Air Conditioning",aircon.za.com,,"GENERAL SERVICES","AIR CONDITIONING SERVICES,AIRCONDITIONERS ",,,"11 - 50",LM,LIMPOPO,POLOKWANE,ANNANDALE,,,,,,,,,,,,,,,0,0,0,0,0,0,"Aircon Lead"
19thhole@netactive.co.za,,,(028)-312-2766,,"2018-03-05 08:05:54",0.0.0.0,,"19TH HOLE GUEST LODGE THE","guesthouse.za.com, lodge.za.com",,HOSPITALITY,"CONVENTIONS,ACCOMMODATION,LODGES,GUEST HOUSES",,,"11 - 50",WC,OVERBERG,HERMANUS,HERMANUS,www.sharkcagediving.com,,,,,,,,,,,,,,0,0,0,0,0,0,"Lodge Leads"
28stoneshill@gmail.com,Mike,,(046)-622-4086,,"2018-03-05 08:05:41",0.0.0.0,,"28 STONES HILL B AND B",guesthouse.za.com,,HOSPITALITY,"GUEST HOUSES,LODGES,AIR CONDITIONING,BED AND BREAK",,,"11 - 50",EC,"SOUTH EASTERN CAPE",GRAHAMSTOWN,GRAHAMSTOWN,http://28stoneshill.co.za/,,,,,,,,,,,,,,4,0,0,0,0,0,"Not responding to e-mails,Lodge Leads"
2theend@telkomsa.net,,,(034)-315-5942,,"2018-03-05 08:05:49",0.0.0.0,,"2 THE END GUEST HOUSE",guesthouse.za.com,,HOSPITALITY,"EN SUITE,GUEST LODGE,B AND B,ACCOMMODATION,PARKING",,,"11 - 50",KZN,"NORTHERN KWA-ZULU NATAL INLAND",NEWCASTLE,NEWCASTLE,www.2theend.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,"Lodge Leads"
4seasons@netactive.co.za,,,(011)-902-2809,,"2018-01-10 11:34:08",127.0.0.1,,"4 SEASONS CATERERS (PTY) LTD",,,HOSPITALITY,CATERERS,,(011)-902-7226,,GT,"EAST RAND",ALBERMARLE,ALBERMARLE,www.4seasonscaterers.co.za,,,(082)-447-1285,,,,,,,,,,,0,0,0,0,0,0,"Catering & Event Coordinating"
4seasonscaterers@netactive.co.za,,,(011)-902-2809,,"2018-01-10 11:34:09",127.0.0.1,,"4 SEASONS CATERERS",,,HOSPITALITY,"CATERERS,CATERING,FUNCTIONS,HIRE,PARTY,PLANNER,VENUE",,,,GT,"EAST RAND",ALBERMARLE,ALBERMARLE,www.4seasonscaterers.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,"Catering & Event Coordinating"
a1bookings@telkomsa.net,,,(011)-975-7549,,"2018-03-05 08:05:44",0.0.0.0,,"A1 AIRPORT LODGE",lodge.za.com,,HOSPITALITY,"HOTELS AND LODGES,LODGES,HOTELS",,,"51 - 200",GT,"EAST RAND","KEMPTON PARK","KEMPTON PARK",www.www,,,(084)-716-4395,,,,,,,,,,,0,0,0,0,0,0,"Lodge Leads"
a2zembroidery@gmail.com,,,(012)-377-3237,,"2018-01-12 08:40:34",127.0.0.1,,"A 2 Z EMBROIDERY",gift.za.com,,"MANUFACTURING & PRODUCTION","EMBROIDERY MANUFACTURERS,PROMOTIONS,EMBROIDERY ",,,"51 - 200",GT,"WEST PRETORIA",DASPOORT,DASPOORT,,,,,,,,,,,,,,,0,0,0,0,0,0,
aandebergen@telkomsa.net,,,(028)-514-3719,,"2018-03-05 08:05:54",0.0.0.0,,"AAN DE BERGEN GUEST HOUSE",guesthouse.za.com,,HOSPITALITY,"BED BREAKFAST,BED AND BREAKFAST LODGES,LUXURY GUESTHOUSE",,,"11 - 50",WC,OVERBERG,SWELLENDAM,SWELLENDAM,,,,,,,,,,,,,,,0,0,0,0,0,0,"Lodge Leads"
abenzi@telkomsa.net,,,(011)-914-2141,,"2018-02-19 13:56:33",127.0.0.1,,"ABENZI INVESTMENTS HOLDING (PTY) LTD",,,"FINANCIAL SERVICES","INVESTMENT COMPANIES INTERNATIONAL,INVESTMENT ",,(011)-914-2152,"51 - 200",GT,,BOKSBURG,"BOKSBURG EAST",,,,,,,,,,,,,,,0,0,0,0,0,0,Investment
abotes@focalpnt.co.za,ANDRE,BOTES,(041)-360-0528,,"2018-01-18 13:50:07",127.0.0.1,,"FOCAL POINT",http://photographer.za.com/,,"PROFESSIONAL SERVICES",PHOTOGRAPHERS,,,"1 - 10",EC,"SOUTH EASTERN CAPE","PORT ELIZABETH","LINTON GRANGE",www.focalpnt.co.za,,,0824507768,,,,,,,,,,,0,0,0,0,0,0,Photographer
aboutafrica@sprintlink.co.za,,,(032)-946-0956,,"2018-02-26 13:49:01",0.0.0.0,,"ANYTIME AFRICA SAFARIS TOURS AND TRANSFERS","gamereserve.za.com, safari.za.com, tour.za.com",,HOSPITALITY,"GAME LODGES, SAFARIS AND OPERATORS,TOURS,SAFARIS",,,"11 - 50",KZN,"NORTHERN KWA-ZULU NATAL",BALLITO,BALLITO,,,,,,,,,,,,,,,0,0,0,0,0,0,"travel industry,Lodge Leads"
absolute@global.co.za,ERICA,JONATHAN,(011)-792-9882,,"2018-01-12 08:40:46",127.0.0.1,,"ABSOLUTE PROMOTIONS AND PRINTS CC",promotions.za.com,,"MANUFACTURING & PRODUCTION","STICKERS,UMBRELLAS,BRANDING,CORPORATE GIFTS,PRINTED",,,"51 - 200",GT,"WEST RAND",ROODEPOORT,BROMHOF,www.absolutepromo.co.za,,,,,,,,jbracher@tiscali.co.za,,,,,,2,0,0,0,0,0,"Gifting Industry"
acacia.florists@telkomsa.net,,,(011)-403-1149,,"2018-02-06 10:36:32",0.0.0.0,,"ACACIA FLORIST",florist.za.com,,RETAIL,"FLORISTS,HAMPERS,ALL AREAS,DECOR,FLORISTS AND FLOWERS",,(011)-403-1406,"11 - 50",GT,"CENTRAL JOHANNESBURG",JOHANNESBURG,BRAAMFONTEIN,,,,,,,,,,,,,,,0,0,0,0,0,0,Florist
academy@cupcakeacademy.co.za,,,(011)-886-4794,,"2018-01-10 13:19:06",127.0.0.1,,"CUP CAKE ACADEMY",,,HOSPITALITY,CATERERS,,,,GT,"CENTRAL JOHANNESBURG",RANDBURG,RANDBURG,,,,,,,,,,,,,,,0,0,0,0,0,0,"Catering & Event Coordinating"
accounts@bct322.co.za,ISABELLE,,(011)-894-4825,,"2018-01-12 08:55:52",127.0.0.1,,"BAY CITY TRADING (PETSA)",gift.za.com,,"MANUFACTURING & PRODUCTION","CORPORATE GIFTS,CORPORATE IMAGE,CORPORATE CLOTHING",,(086)-636-3735,"51 - 200",GT,"EAST RAND",BOKSBURG,BARDENE,www.bct322.co.za,,,(083)-253-7313,,,,,,,,,,,0,0,0,0,0,0,"Gifting Industry,Not responding to e-mails"
accounts@coolcomfort.co.za,,,(031)-312-1381,,"2018-01-18 09:51:10",0.0.0.0,,"Cool Comfort (Edms) Bpk",aircon.za.com,,"GENERAL SERVICES","AIRCONDITIONING,FANS",,,"11 - 50",KZN,"CENTRAL DURBAN","CENTRAL DURBAN","DURBAN CENTRAL",www.coolcomfort.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,"Aircon Lead"
acra@netactive.co.za,,,(011)-393-1642,,"2018-01-18 09:51:06",0.0.0.0,,"L T S Air Conditioning & Refrigeration Services",aircon.za.com,,"GENERAL SERVICES","AIR CONDITIONING EQPT AND SYSTEMS,SERVICE,AIRCONDITIONING",(013)-665-2421,(086)-671-0402238,"11 - 50",GT,"EAST RAND",LETHABONG,CHLOORKOP,www.acra.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,"Aircon Lead"
acs5@telkomsa.net,,,(021)-557-7009,,"2018-02-26 13:49:03",0.0.0.0,,"Account Collection Services",,,HOSPITALITY,"AIRPORT SHUTTLE SERVICES, SAFARIS AND OPERATORS,DE",,,"11 - 50",WC,"NORTH CAPE TOWN",BLOUBERG,"TABLE VIEW",,,,,,,,,,,,,,,0,0,0,0,0,0,"travel industry"
