Name,Street Address,City,State,Zip Code,Phone,Website,Rating,Reviews,Email from Web,Note
Site for Sore Eyes,1241 S Main St, Salinas,CA,93901,+1 831-424-1242,https://www.siteforsoreeyes.com/salinas-location/,,,3bbrenda@siteforsoreeyes.com,
America's Best Contacts & Eyeglasses,1712 N Main St, Salinas,CA,93906,+1 831-269-7200,https://www.americasbest.com/store-list/salinas-ca-93906/?utm_source=gplus&utm_medium=listing&utm_campaign=w2gi,4.2,5,appointments@americasbest.com,
National Vision,1800 N Main St, Salinas,CA,93906,+1 831-444-9287,https://www.nationalvision.com/,,,Billie.Ackerman@nationalvision.com,
Costco Vision Center,1339 N Davis Rd, Salinas,CA,93907,+1 831-424-4242,http://www.costco.com/warehouse-locations/warehouse-472.html?langId=-1&storeId=10301&catalogId=10701&warehouseNumber=472&BeginAddress=93907&hasFood=true&hasPharmacy=true&hasTires=true&numOfWarehousesToReturn=5&location=93907&callingPage=WarehouseLocatorView,3.4,5,byung.park@costco.com,
LensCrafters,670 Northridge Mall, Salinas,CA,93906,+1 831-443-6090,https://local.lenscrafters.com/ca/salinas/670-northridge-mall.html?cid=yext_0511,2.2,9,Catalano.Amy@lenscrafters.com,
EYEXAM of California,670 Northridge Mall, Salinas,CA,93906,+1 831-443-5250,https://local.lenscrafters.com/eyedoctors/ca/salinas/670-northridge-mall.html?cid=yext_odLCOD0511-110000076,4,5,Catalano.Amy@lenscrafters.com,
"Joseph J. Estrada, OD",311 Pajaro St, Salinas,CA,93901,+1 831-757-4500,http://estrada-fewtrell.com/,4.4,21,cgarciamgr@estrada-fewtrell.com,no email found of Dr. Estrada
Salinas Valley Optometric,311 Pajaro St, Salinas,CA,93901,+1 831-757-4500,http://www.estrada-fewtrell.com/,5,1,cgarciamgr@estrada-fewtrell.com,
Crisp Vision Optometry,1152 S Main St, Salinas,CA,93901,+1 831-676-3206,http://www.crispvision.com/,4,4,crispvisionoptometry@gmail.com,
DR ANIL K SETHI OD,1152 S Main St, Salinas,CA,93901,+1 831-676-3206,http://www.crispvision.com/,,,crispvisionoptometry@gmail.com,
Crisp Vision Optometry,2440 N Fremont St #209, Monterey,CA,93940,+1 831-375-3937,http://www.crispvision.com/,4.3,24,crispvisionoptometry@gmail.com,
Dr Anil K Sethi OD,2440 Fremont St Suite #209, Monterey,CA,93940,+1 831-375-3937,http://www.crispvision.com/,3.6,5,crispvisionoptometry@gmail.com,
Sears Optical,1100 Northridge Mall, Salinas,CA,93906,+1 831-443-4433,https://locations.searsoptical.com/us/ca/salinas/1100-northridge-mall.html?cid=yext_0210,,,d-gerbetz@searsoptical.com,
Monterey County Eye Associates,1441 Constitution Blvd Bldg 400 Ste 100, Salinas,CA,93906,+1 831-424-1150,http://www.montereyeye.com/?utm_source=local&utm_campaign=eii,2.5,2,dign@montereyeye.com,
"Leland H. Rosenblum, M.D.",400  1441 Constitution Blvd #100, Salinas,CA,93906,+1 831-424-1150,https://www.montereyeye.com/,3,1,dign@montereyeye.com,no email found of Dr. Rosenblum
"Theresa de Barros, M.D.",400  1441 Constitution Blvd #100, Salinas,CA,93906,+1 831-424-1150,https://www.montereyeye.com/,4,1,dign@montereyeye.com,no email found of Dr. Barros
Hicks & Batchelor Optometry,262 San Jose St A, Salinas,CA,93901,+1 831-424-2531,https://www.hicksandbatcheloroptometry.com/,5,2,hicksbatchelor@gmail.com,
Hicks James F OD,262 San Jose St suite a, Salinas,CA,93901,+1 831-424-2531,https://www.hicksandbatcheloroptometry.com/,,,hicksbatchelor@gmail.com,
Marchionna Joseph J OD,419 E Romie Ln, Salinas,CA,93901,+1 831-758-3331,https://www.joemikebob.com/,,,honnors3@hotmail.com,no email found of Dr. Macchiona
Dr. Pham Family Optometry at Walmart,1375 N Davis Rd, Salinas,CA,93907,+1 831-751-9917,https://www.phamfamilyoptometry.com/,4,4,info@phamfamilyoptometry.com,no email found of Dr. Pham
Walmart Pharmacy,1800 N Main St, Salinas,CA,93906,+1 831-751-0260,https://www.walmart.com/store/2458/salinas-ca/details,3.3,3,Jacqui.Canney@walmart.com,
Walmart Vision & Glasses,1800 N Main St, Salinas,CA,93906,+1 831-751-0231,https://www.walmart.com/store/2458/salinas-ca/details,1,1,Jacqui.Canney@walmart.com,
Walmart Vision & Glasses,1375 N Davis Rd, Salinas,CA,93907,+1 831-998-9084,https://www.walmart.com/store/5751/salinas-ca/details,3,5,Jacqui.Canney@walmart.com,
Walmart Pharmacy,1375 N Davis Rd, Salinas,CA,93907,+1 831-998-9087,https://www.walmart.com/store/5751/salinas-ca/details,,,Jacqui.Canney@walmart.com,
"Juan Trejo, OD",1630 N Main St, Salinas,CA,93906,+1 831-443-4422,http://www.trejooptometry.com/,,,jjtoptometry@hotmail.com,no email found of Dr. Trejo
Trejo Optometry,1630 N Main St, Salinas,CA,93906,+1 831-443-4422,http://www.trejooptometry.com/,,,jjtoptometry@hotmail.com,
"Juan Trejo, OD",900 Cass St #102, Monterey,CA,93940,+1 831-373-1116,http://www.trejooptometry.com/,5,1,jjtoptometry@hotmail.com,
Stanton Optical,901 N Main St suite c, Salinas,CA,93906,+1 831-244-3428,https://www.stantonoptical.com/locations/salinas-eyeglasses/?utm_source=google&utm_medium=organic&utm_campaign=Salinas-Local-SO,3.5,46,Kaydi@stantonoptical.com,
Neunzig Michael D OD,622 Abbott St, Salinas,CA,93901,+1 831-771-3900,http://vantageeye.com/,,,kish@vantageeye.com,no email found of Dr. Nuenzig
Vantage Eye Center - Salinas,622 Abbott St, Salinas,CA,93901,+1 831-771-3900,http://www.vantageeye.com/,3.3,4,kish@vantageeye.com,no email found of Dr. Pruthi
"Dr. Asit S. Pruthi, MD",622 Abbott St, Salinas,CA,93901,+1 831-771-3900,http://www.vantageeye.com/,,,kish@vantageeye.com,no email found of Dr. Jones
"Matthew Jones, MD",622 Abbott St, Salinas,CA,93901,+1 831-771-3900,http://www.vantageeye.com/,,,kish@vantageeye.com,no email found of Dr. Kim
"Richard Kim, MD",622 Abbott St, Salinas,CA,93901,+1 831-771-3900,http://www.vantageeye.com/,5,1,kish@vantageeye.com,
Vantage Eye Center: Lawrence Ellen MD,622 Abbott St, Salinas,CA,93901,+1 831-771-3900,https://www.vantageeye.com/,,,kish@vantageeye.com,no email found of Dr. Lawrence
Optique America Inc,Lincoln Street & 6th Ave, Carmel-By-The-Sea,CA,93921,+1 831-626-8905,http://optiqueamerica.com/,5,1,optamerica@eathlink.net,
Costco Wholesale,1339 N Davis Rd, Salinas,CA,93907,+1 831-424-4242,http://www.costco.com/warehouse-locations/salinas-ca-472.html?utm_source=local&utm_medium=organic&utm_campaign=gmb,4.4,658,PLatham@costco.com,
Costco Pharmacy,1339 N Davis Rd, Salinas,CA,93907,+1 831-751-0414,https://m.costco.com/warehouse-locations/salinas-ca-472.html,4,3,PLatham@costco.com,
JCPenney Optical,100 Northridge Shopping Ctr, Salinas,CA,93906,+1 831-442-3209,http://www.jcpenneyoptical.com/stores/northridge-s-c/,5,1,rx@jcpenneyoptical.com,
"Hisle, Willa OD",8048 San Miguel Canyon Rd, Salinas,CA,93907,+1 831-663-3276,http://drwillahisle.com/,5,1,,no email found
"Dean E Fewtrell, O.D.",311 Pajaro St, Salinas,CA,93901,+1 831-424-6201,http://estrada-fewtrell.com/,5,1,,no email found of Dr. Fewtrell
Romie Lane Optometric Center: Flickner Christian OD,48 W Romie Ln, Salinas,CA,93901,+1 831-424-0834,http://www.flickneroptometry.com/,,,,no email found
Romie Lane Optometric Center,48 W Romie Ln, Salinas,CA,93901,+1 831-424-0834,http://www.salinaseyedoctor.com/,4.1,11,,no email found
Prunedale Vision Center,8048 San Miguel Canyon Rd, Salinas,CA,93907,+1 831-663-3276,https://www.drwillahisle.com/,5,1,,no email found
